,Industrials,Consumer Discretionary,Finance,Technology,Real Estate,Health Care,Miscellaneous,Telecommunications,Utilities,Consumer Staples,Energy,Basic Materials
411,11493.241631269455,7560023556.630912,18587.7024217844,9086.325914978981,6156.000261187553,94092.94773525,313.6000008583069,662.0028033256531,2780.8174381256104,3066.981082677841,3496.790071964264,542.8290859460831
412,11517.900774121284,7110023670.83855,18581.9306486845,9080.809715628624,6175.670246481895,102342.59618622065,315.00000619888306,660.2352930307388,2783.6325464248657,3071.095541238785,3440.986059308052,538.6770579814911
413,11631.442467570305,6822023790.450212,18644.18165409565,9136.427434802055,6191.916071176529,101440.92299205065,313.25999212265015,661.941125035286,2779.479178905487,3067.8418729305267,3474.7598320245743,541.1631313562393
414,11522.677519321442,8370023625.244757,18603.74270749092,9075.955853819847,6152.746000885963,95249.84728986025,313.34000873565674,659.621960401535,2769.8275504112244,3063.421949148178,3436.763629555702,522.2781031131744
415,11543.106622815132,8586023702.826742,18646.138771533966,9106.06636929512,6186.051806807518,93173.06259340048,315.4000015258789,662.7055504322052,2776.4841361045837,3068.6313183307648,3436.2664572000504,529.866495013237
416,11497.789682984352,7686023922.261266,18658.944630622864,9121.946631193161,6134.686896085739,92890.04878598452,313.0899991989136,657.786442399025,2733.220947742462,3052.5847311019897,3420.9246456623077,529.1912286281586
417,11576.40307867527,7218023943.094517,18757.147066116333,9145.991836428642,6186.285491466522,94569.25049489737,314.8400082588196,660.7246572971344,2751.5485491752625,3067.09805226326,3451.5420373678207,532.5932796001434
418,11527.869344592094,7146023711.811407,18819.281484127045,9155.940128207207,6184.897515654564,93917.85146445036,315.91999340057373,659.3634296655655,2727.4356837272644,3035.7414078712463,3470.1787065267563,526.4993209838867
419,11452.268469572067,7128023893.132418,18806.26084089279,9113.409154057503,6204.6084202528,87667.0982235074,316.7499952316284,658.9745932817459,2725.303476333618,3032.086515188217,3419.296425819397,517.3701481819153
420,11489.104633569717,7272023806.289461,18782.982883810997,9173.398450255394,6173.340981245041,90194.86071586609,318.58000087738037,659.0665761232376,2717.995858669281,3030.128452539444,3410.5703978538513,522.8936619758606
421,11589.938108801842,7254024026.264677,18901.25496506691,9249.535330533981,6237.0062165260315,84458.78529292345,322.5099997520447,667.1519610881805,2752.8879570961,3066.275326728821,3456.492486834526,532.9282312393188
422,11604.059578061104,7380023532.434527,18859.25849866867,9252.081615567207,6261.32260966301,44284.07282525301,322.1899938583374,669.435940861702,2778.356578350067,3076.315164089203,3506.8059027194977,543.1574575901031
423,11608.268044948578,7326024115.74137,18958.84047293663,9266.938180804253,6286.489306211472,42844.67921847105,310.9599986076355,671.1068993806839,2791.0626335144043,3056.8171610832214,3537.2053126096725,539.6728904247284
424,11588.123342990875,7290023806.046658,18947.036388874054,9230.562767982483,6209.916135311127,40237.69239991903,311.3100028038025,670.3816488981247,2797.517418861389,3038.376265525818,3663.902239561081,534.8207243680954
425,11205.436390161514,7020023776.58134,18637.507212877274,8986.796992063522,5954.3036007881165,39536.96041876078,307.02999782562256,648.0637568235397,2701.4480843544006,2958.619570016861,3513.887377858162,514.2602833509445
426,11358.616500973701,7236023416.914875,18761.652544498444,9103.234139323235,6027.828313708305,39830.91017997265,308.6100058555603,661.0215224027634,2734.728657245636,2990.7589149475098,3526.8859301805496,523.6533885002136
427,11127.672608852386,6840023322.7165575,18488.87972354889,8988.077350258827,5881.303802013397,39273.26516079903,305.45000314712524,648.2638145685196,2690.7217812538147,2945.661569595337,3386.3701232671738,506.88649249076843
428,11120.572207927704,6858023189.210899,18430.602864027023,8998.711610555649,5910.620761275291,39975.71909838915,304.35000562667847,649.040870308876,2698.9684529304504,2933.2415075302124,3362.014927148819,507.17064142227173
429,11224.879319787025,6354023259.216924,18587.44531583786,9126.642087578773,5942.711274385452,38839.86017495394,306.7299942970276,657.8882335424423,2721.9652767181396,2955.7762911319733,3417.1715844869614,513.8508735895157
430,11163.589197158813,6102023450.967902,18516.245886683464,9082.033371806145,5911.8765634298325,38417.014400959015,304.7000060081482,653.8040672540665,2741.739585876465,2938.0221412181854,3415.224937558174,509.5933892726898
431,11220.192312836647,5616023162.293099,18589.271532416344,9127.28589630127,5996.538597226143,37490.71279925108,306.35000371932983,657.4900978803635,2769.304557800293,2938.1135234832764,3408.519575238228,514.8972635269165
432,11178.619116544724,6084022932.596039,18572.678505539894,9097.975736737251,5972.210165858269,37295.66575920582,305.2100043296814,654.4579826593399,2762.050633430481,2933.8077874183655,3383.396993160248,513.4629867076874
433,11351.619855880737,6642023257.304692,18718.769956707954,9237.699985384941,6039.064329981804,38058.64915496111,306.66999673843384,666.2026089429855,2819.0898900032043,2960.139703273773,3466.9133425951004,531.6898500919342
434,11466.262691259384,6408023780.562507,18873.169315576553,9319.95939707756,6138.628548979759,37899.99960267544,306.899995803833,674.2403532266617,2842.95991563797,2993.0726175308228,3496.4373935461044,533.5946207046509
435,11361.405786633492,6120023739.579356,18754.34093117714,9244.57269346714,6138.350877165794,37611.90553355217,305.3199973106384,669.8847193717957,2827.4767775535583,2985.255148410797,3419.792098402977,527.087659239769
436,11312.948739171028,6030023717.531595,18559.252685546875,9163.560626983643,6126.770494818687,37422.29927033186,302.3799967765808,663.8699728250504,2822.9786100387573,2955.6772327423096,3420.1503940820694,522.0879372358322
437,11384.642340898514,5778023525.216397,18641.070267677307,9271.126827836037,6077.478515267372,37490.56291973591,301.9599962234497,667.5327357053757,2800.4136548042297,2964.7445533275604,3401.2154829502106,518.5773495435715
438,11563.16818511486,6012023966.722511,18754.101672887802,9307.785880208015,6101.937257885933,37447.34759348631,302.6199975013733,671.454920053482,2806.675208091736,2973.273843050003,3588.161449790001,531.0476013422012
439,11479.003617048264,6606023576.630518,18565.15286052227,9239.975043296814,6027.777161240578,37086.662913799286,301.10999727249146,668.1822856664658,2771.8971939086914,2954.0669429302216,3624.3060145378113,526.2002226114273
440,11581.192692041397,6264023727.031746,18761.139119029045,9321.795773029327,5999.537687420845,37198.68977057934,307.2499990463257,669.3472806215286,2768.149212360382,2979.3561267852783,3684.281427025795,528.3499029874802
441,11560.039911746979,6210023541.489934,18669.13879406452,9296.361011743546,5910.643097519875,37116.76811635494,305.5699944496155,669.2749238014221,2741.5203952789307,2976.4735844135284,3690.982273697853,525.6949844360352
442,11456.171862125397,5940023265.642006,18641.60299909115,9294.843927502632,5833.116989970207,39252.63492053747,303.91999912261963,663.9607493877411,2687.194384098053,2954.78786110878,3640.5199764966965,512.1682391166687
443,11559.138444185257,5940023392.076189,18741.88496530056,9347.718544721603,5730.921170473099,38799.63293504715,304.6800003051758,662.285875916481,2683.450168609619,2966.9116497039795,3726.7188160419464,515.5447437763214
444,11579.74216735363,5976023618.886301,18701.148402929306,9359.743392109871,5732.274500131607,36734.13267993927,304.4000024795532,658.3443324565887,2683.273772239685,2969.834473848343,3747.567497611046,514.1962238550186
445,11431.439403176308,5778023303.1721945,18673.148143053055,9291.916426420212,5726.086348295212,35720.07231551409,301.8299984931946,654.3940107822418,2665.6673159599304,2945.4417021274567,3729.463407278061,512.5332652330399
446,11494.653622865677,6012023831.682899,18776.940665245056,9362.03825044632,5780.479303598404,34607.02128189802,304.53999948501587,658.0979249477386,2695.7530694007874,2975.6634933948517,3811.2518997192383,518.3105531930923
447,11298.13238787651,5562022931.342716,18607.33454489708,9179.412759184837,5733.179198741913,34819.970451414585,300.6000008583069,651.5054886341095,2658.822760105133,2960.5647201538086,3785.8393902778625,506.95094549655914
448,11311.600588321686,5382023261.451146,18640.03404903412,9161.777570962906,5810.606106519699,34234.10463452339,300.6600008010864,652.3895864486694,2677.5176105499268,2978.8103721141815,3781.290610432625,512.1410435438156
449,11237.446250915527,5058022631.7234955,18465.37196648121,9072.63908302784,5855.322217941284,34486.373724102974,299.0700001716614,648.5692028999329,2687.1018805503845,2975.0347905158997,3776.8221530914307,507.62466180324554
450,11201.992588043213,4806022784.197573,18520.537104964256,9095.185459971428,5834.494923830032,34541.232379198074,298.840003490448,647.8907420635223,2681.457468032837,2965.67227935791,3750.612342238426,508.371141910553
